loss,penalty,alpha,l1_ratio,learning_rate,eta0,power_t,max_iter,epsilon,average,cv_mean_R2,cv_std_R2,cv_mean_RMSE,cv_mean_MAE,cv_mean_train_R2
huber,l2,0.0001,0.2,optimal,0.001,0.25,4000,0.01,True,0.25645244501177017,0.04048908781343543,0.1524545194788256,0.10409971161286156,0.26626035199279563
huber,l2,0.0001,0.2,optimal,0.001,0.25,8000,0.01,True,0.25645244501177017,0.04048908781343543,0.1524545194788256,0.10409971161286156,0.26626035199279563
huber,l2,0.0001,0.2,optimal,0.001,0.25,4000,0.03,True,0.24159805909403076,0.012855276548045151,0.15402592715456345,0.10729767213814162,0.11904163109006032
huber,l2,0.0001,0.2,optimal,0.001,0.25,8000,0.03,True,0.24159805909403076,0.012855276548045151,0.15402592715456345,0.10729767213814162,0.11904163109006032
squared_error,l2,1e-06,0.2,invscaling,0.001,0.25,4000,0.01,True,0.23416290960480102,0.0057201289129794235,0.15475677212487013,0.11424289136299563,0.2471829841087668
squared_error,l2,1e-06,0.2,invscaling,0.001,0.25,8000,0.01,True,0.23416290960480102,0.0057201289129794235,0.15475677212487013,0.11424289136299563,0.2471829841087668
squared_error,elasticnet,1e-06,0.2,invscaling,0.001,0.25,4000,0.01,True,0.23416270684560445,0.005720280960396656,0.1547567923884522,0.11424291936743547,0.24718264918140867
squared_error,elasticnet,1e-06,0.2,invscaling,0.001,0.25,8000,0.01,True,0.23416270684560445,0.005720280960396656,0.1547567923884522,0.11424291936743547,0.24718264918140867
squared_error,l2,1e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,0.2341624655809331,0.005720164956926023,0.1547568169482844,0.11424295780266376,0.24718246621922846
squared_error,l2,1e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,0.2341624655809331,0.005720164956926023,0.1547568169482844,0.11424295780266376,0.24718246621922846
squared_error,elasticnet,1e-06,0.5,invscaling,0.001,0.25,4000,0.01,True,0.23416240270320288,0.005720509025132343,0.15475682278418804,0.11424296137381589,0.2471821467874943
squared_error,elasticnet,1e-06,0.5,invscaling,0.001,0.25,8000,0.01,True,0.23416240270320288,0.005720509025132343,0.15475682278418804,0.11424296137381589,0.2471821467874943
squared_error,elasticnet,1e-06,0.8,invscaling,0.001,0.25,4000,0.01,True,0.23416209855920087,0.005720737084824813,0.1547568531800806,0.11424300337920497,0.24718164439032986
squared_error,elasticnet,1e-06,0.8,invscaling,0.001,0.25,8000,0.01,True,0.23416209855920087,0.005720737084824813,0.1547568531800806,0.11424300337920497,0.24718164439032986
squared_error,l2,3e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,0.23416147885590188,0.005720245045539172,0.1547569165563741,0.11424310544463412,0.24718131535314136
squared_error,l2,3e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,0.23416147885590188,0.005720245045539172,0.1547569165563741,0.11424310544463412,0.24718131535314136
squared_error,elasticnet,1e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,0.23416043785874951,0.005721685311660901,0.1547570195971155,0.11424323784048455,0.24717911681669025
squared_error,elasticnet,1e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,0.23416043785874951,0.005721685311660901,0.1547570195971155,0.11424323784048455,0.24717911681669025
squared_error,l2,0.0001,0.2,invscaling,0.001,0.25,4000,0.01,True,0.2341580252604737,0.0057205252574495345,0.15475726519014324,0.11424362217266527,0.24717728731701485
squared_error,l2,0.0001,0.2,invscaling,0.001,0.25,8000,0.01,True,0.2341580252604737,0.0057205252574495345,0.15475726519014324,0.11424362217266527,0.24717728731701485
squared_error,elasticnet,1e-05,0.5,invscaling,0.001,0.25,4000,0.01,True,0.23415739579258008,0.00572396546721607,0.15475732361895703,0.11424365786524215,0.24717409236248913
squared_error,elasticnet,1e-05,0.5,invscaling,0.001,0.25,8000,0.01,True,0.23415739579258008,0.00572396546721607,0.15475732361895703,0.11424365786524215,0.24717409236248913
squared_error,elasticnet,3e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,0.23415539470687288,0.005724805441234191,0.15475752460146586,0.11424394552761503,0.24717126637047923
squared_error,elasticnet,3e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,0.23415539470687288,0.005724805441234191,0.15475752460146586,0.11424394552761503,0.24717126637047923
squared_error,elasticnet,1e-05,0.8,invscaling,0.001,0.25,4000,0.01,True,0.23415435296824452,0.0057262452072350395,0.15475762771694937,0.11424407791952475,0.24716906732820706
squared_error,elasticnet,1e-05,0.8,invscaling,0.001,0.25,8000,0.01,True,0.23415435296824452,0.0057262452072350395,0.15475762771694937,0.11424407791952475,0.24716906732820706
squared_error,elasticnet,3e-05,0.5,invscaling,0.001,0.25,4000,0.01,True,0.2341462634193955,0.005731642532380364,0.15475843717806745,0.114245205683929,0.24715618890049665
squared_error,elasticnet,3e-05,0.5,invscaling,0.001,0.25,8000,0.01,True,0.2341462634193955,0.005731642532380364,0.15475843717806745,0.114245205683929,0.24715618890049665
squared_error,elasticnet,0.0001,0.2,invscaling,0.001,0.25,4000,0.01,True,0.23413773273217456,0.005735718429387848,0.15475929321377305,0.11424642257310398,0.24714378044680133
squared_error,elasticnet,0.0001,0.2,invscaling,0.001,0.25,8000,0.01,True,0.23413773273217456,0.005735718429387848,0.15475929321377305,0.11424642257310398,0.24714378044680133
squared_error,elasticnet,3e-05,0.8,invscaling,0.001,0.25,4000,0.01,True,0.23413712718979382,0.005738475771573488,0.15475935025132617,0.11424646590453412,0.2471411067095026
squared_error,elasticnet,3e-05,0.8,invscaling,0.001,0.25,8000,0.01,True,0.23413712718979382,0.005738475771573488,0.15475935025132617,0.11424646590453412,0.2471411067095026
squared_error,elasticnet,0.0001,0.5,invscaling,0.001,0.25,4000,0.01,True,0.23410724255734985,0.005758474916191483,0.15476234041161285,0.11425062342849968,0.24709347661715286
