loss,penalty,alpha,l1_ratio,learning_rate,eta0,power_t,max_iter,epsilon,average,train_R2,test_R2,test_RMSE,test_MAE
huber,l2,1e-05,0.2,optimal,0.001,0.25,4000,0.01,True,0.09118313390708399,0.188945938740544,0.146749738706541,0.10391429208540393
huber,l2,1e-05,0.2,optimal,0.001,0.25,8000,0.01,True,0.09118313390708399,0.188945938740544,0.146749738706541,0.10391429208540393
huber,l2,0.0001,0.2,optimal,0.001,0.25,4000,0.05,True,0.06747291828475221,0.17440828294157484,0.14805909775955042,0.10464013273540755
huber,l2,0.0001,0.2,optimal,0.001,0.25,8000,0.05,True,0.06747291828475221,0.17440828294157484,0.14805909775955042,0.10464013273540755
huber,l2,0.0001,0.2,optimal,0.001,0.25,4000,0.01,True,0.2791738208845872,0.16994105898764267,0.14845912650915877,0.10026596066754573
huber,l2,0.0001,0.2,optimal,0.001,0.25,8000,0.01,True,0.2791738208845872,0.16994105898764267,0.14845912650915877,0.10026596066754573
squared_error,elasticnet,0.0001,0.8,invscaling,0.001,0.25,4000,0.01,True,0.2566269023543155,0.16982874494844902,0.14846917006108787,0.1091645033005712
squared_error,elasticnet,0.0001,0.8,invscaling,0.001,0.25,8000,0.01,True,0.2566269023543155,0.16982874494844902,0.14846917006108787,0.1091645033005712
squared_error,elasticnet,0.0001,0.5,invscaling,0.001,0.25,4000,0.01,True,0.2566836174862551,0.16976818261784277,0.1484745854949063,0.10916573975796595
squared_error,elasticnet,0.0001,0.5,invscaling,0.001,0.25,8000,0.01,True,0.2566836174862551,0.16976818261784277,0.1484745854949063,0.10916573975796595
squared_error,elasticnet,3e-05,0.8,invscaling,0.001,0.25,4000,0.01,True,0.2567373632626796,0.16971645766329413,0.14847921054143684,0.10916727666553229
squared_error,elasticnet,3e-05,0.8,invscaling,0.001,0.25,8000,0.01,True,0.2567373632626796,0.16971645766329413,0.14847921054143684,0.10916727666553229
squared_error,elasticnet,0.0001,0.2,invscaling,0.001,0.25,4000,0.01,True,0.2567402419231807,0.16970718931492446,0.14848003926628706,0.10916793171260311
squared_error,elasticnet,0.0001,0.2,invscaling,0.001,0.25,8000,0.01,True,0.2567402419231807,0.16970718931492446,0.14848003926628706,0.10916793171260311
squared_error,elasticnet,3e-05,0.5,invscaling,0.001,0.25,4000,0.01,True,0.2567543351030279,0.1696980900620998,0.14848085286704196,0.10916793436617911
squared_error,elasticnet,3e-05,0.5,invscaling,0.001,0.25,8000,0.01,True,0.2567543351030279,0.1696980900620998,0.14848085286704196,0.10916793436617911
squared_error,elasticnet,1e-05,0.8,invscaling,0.001,0.25,4000,0.01,True,0.25676886234096097,0.16968409370747384,0.1484821043286423,0.10916834225447719
squared_error,elasticnet,1e-05,0.8,invscaling,0.001,0.25,8000,0.01,True,0.25676886234096097,0.16968409370747384,0.1484821043286423,0.10916834225447719
squared_error,elasticnet,3e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,0.256771299076494,0.16967968457986204,0.14848249856153126,0.10916859203967026
squared_error,elasticnet,3e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,0.256771299076494,0.16967968457986204,0.14848249856153126,0.10916859203967026
squared_error,elasticnet,1e-05,0.5,invscaling,0.001,0.25,4000,0.01,True,0.2567745156451926,0.16967795263681706,0.14848265341929628,0.1091685614865586
squared_error,elasticnet,1e-05,0.5,invscaling,0.001,0.25,8000,0.01,True,0.2567745156451926,0.16967795263681706,0.14848265341929628,0.1091685614865586
squared_error,elasticnet,3e-06,0.8,invscaling,0.001,0.25,4000,0.01,True,0.25677988066673896,0.16967273714562292,0.14848311974965434,0.10916871522779965
squared_error,elasticnet,3e-06,0.8,invscaling,0.001,0.25,8000,0.01,True,0.25677988066673896,0.16967273714562292,0.14848311974965434,0.10916871522779965
squared_error,elasticnet,1e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,0.25678016804191095,0.1696718071819181,0.14848320289992512,0.10916878073493162
squared_error,elasticnet,1e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,0.25678016804191095,0.1696718071819181,0.14848320289992512,0.10916878073493162
squared_error,elasticnet,3e-06,0.5,invscaling,0.001,0.25,4000,0.01,True,0.25678157619869946,0.16967089277628356,0.14848328465906638,0.10916878101289054
squared_error,elasticnet,3e-06,0.5,invscaling,0.001,0.25,8000,0.01,True,0.25678157619869946,0.16967089277628356,0.14848328465906638,0.10916878101289054
squared_error,elasticnet,1e-06,0.8,invscaling,0.001,0.25,4000,0.01,True,0.2567830280833575,0.16966948950120597,0.14848341012907756,0.10916882181660782
squared_error,elasticnet,1e-06,0.8,invscaling,0.001,0.25,8000,0.01,True,0.2567830280833575,0.16966948950120597,0.14848341012907756,0.10916882181660782
squared_error,elasticnet,3e-06,0.2,invscaling,0.001,0.25,4000,0.01,True,0.2567832716473585,0.16966904802435134,0.1484834496025037,0.10916884679820633
squared_error,elasticnet,3e-06,0.2,invscaling,0.001,0.25,8000,0.01,True,0.2567832716473585,0.16966904802435134,0.1484834496025037,0.10916884679820633
squared_error,elasticnet,1e-06,0.5,invscaling,0.001,0.25,4000,0.01,True,0.25678359321923083,0.1696688745242817,0.1484834651155274,0.10916884374506544
squared_error,elasticnet,1e-06,0.5,invscaling,0.001,0.25,8000,0.01,True,0.25678359321923083,0.1696688745242817,0.1484834651155274,0.10916884374506544
squared_error,elasticnet,1e-06,0.2,invscaling,0.001,0.25,4000,0.01,True,0.25678415834604396,0.16966825950495112,0.14848352010574856,0.10916886567351168
squared_error,elasticnet,1e-06,0.2,invscaling,0.001,0.25,8000,0.01,True,0.25678415834604396,0.16966825950495112,0.14848352010574856,0.10916886567351168
squared_error,l2,1e-06,0.2,invscaling,0.001,0.25,4000,0.01,True,0.2567845350921675,0.16966784946849411,0.1484835567679921,0.1091688802924733
squared_error,l2,1e-06,0.2,invscaling,0.001,0.25,8000,0.01,True,0.2567845350921675,0.16966784946849411,0.1484835567679921,0.1091688802924733
squared_error,l2,3e-06,0.2,invscaling,0.001,0.25,4000,0.01,True,0.25678440190092355,0.1696678179776514,0.14848355958365586,0.10916889065504416
squared_error,l2,3e-06,0.2,invscaling,0.001,0.25,8000,0.01,True,0.25678440190092355,0.1696678179776514,0.14848355958365586,0.10916889065504416
squared_error,l2,1e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,0.25678393573086944,0.16966770775735884,0.1484835694386881,0.10916892692385538
squared_error,l2,1e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,0.25678393573086944,0.16966770775735884,0.1484835694386881,0.10916892692385538
squared_error,l2,3e-05,0.2,invscaling,0.001,0.25,4000,0.01,True,0.2567826038104284,0.16966739282215537,0.148483597597715,0.10916903054743199
squared_error,l2,3e-05,0.2,invscaling,0.001,0.25,8000,0.01,True,0.2567826038104284,0.16966739282215537,0.148483597597715,0.10916903054743199
squared_error,l2,0.0001,0.2,invscaling,0.001,0.25,4000,0.01,True,0.25677794201887927,0.1696662903147006,0.14848369617521123,0.10916939321130145
squared_error,l2,0.0001,0.2,invscaling,0.001,0.25,8000,0.01,True,0.25677794201887927,0.1696662903147006,0.14848369617521123,0.10916939321130145
squared_error,elasticnet,0.0001,0.8,invscaling,0.001,0.25,4000,0.01,False,0.281869019646653,0.1689111494228147,0.14855119953438564,0.1066795006078631
squared_error,elasticnet,0.0001,0.8,invscaling,0.001,0.25,8000,0.01,False,0.281869019646653,0.1689111494228147,0.14855119953438564,0.1066795006078631
squared_error,elasticnet,0.0001,0.5,invscaling,0.001,0.25,4000,0.01,False,0.28188807061797305,0.16880062853927758,0.1485610766155292,0.10668376565218764
squared_error,elasticnet,0.0001,0.5,invscaling,0.001,0.25,8000,0.01,False,0.28188807061797305,0.16880062853927758,0.1485610766155292,0.10668376565218764
squared_error,elasticnet,3e-05,0.8,invscaling,0.001,0.25,4000,0.01,False,0.28190749644061963,0.1687012800639307,0.14856995467533451,0.10668707003056195
squared_error,elasticnet,3e-05,0.8,invscaling,0.001,0.25,8000,0.01,False,0.28190749644061963,0.1687012800639307,0.14856995467533451,0.10668707003056195
squared_error,elasticnet,0.0001,0.2,invscaling,0.001,0.25,4000,0.01,False,0.28190708169037426,0.16868981594108967,0.14857097910752598,0.10668803075621654
squared_error,elasticnet,0.0001,0.2,invscaling,0.001,0.25,8000,0.01,False,0.28190708169037426,0.16868981594108967,0.14857097910752598,0.10668803075621654
squared_error,elasticnet,3e-05,0.5,invscaling,0.001,0.25,4000,0.01,False,0.2819131929224382,0.16866798477229406,0.1485729299177597,0.106688349644871
squared_error,elasticnet,3e-05,0.5,invscaling,0.001,0.25,8000,0.01,False,0.2819131929224382,0.16866798477229406,0.1485729299177597,0.106688349644871
squared_error,elasticnet,1e-05,0.8,invscaling,0.001,0.25,4000,0.01,False,0.28191846258712927,0.16864111616434307,0.1485753308330851,0.10668923291089459
squared_error,elasticnet,1e-05,0.8,invscaling,0.001,0.25,8000,0.01,False,0.28191846258712927,0.16864111616434307,0.1485753308330851,0.10668923291089459
squared_error,elasticnet,3e-05,0.2,invscaling,0.001,0.25,4000,0.01,False,0.2819188858832109,0.16863466369953006,0.14857590740431853,0.10668962922875477
squared_error,elasticnet,3e-05,0.2,invscaling,0.001,0.25,8000,0.01,False,0.2819188858832109,0.16863466369953006,0.14857590740431853,0.10668962922875477
squared_error,elasticnet,1e-05,0.5,invscaling,0.001,0.25,4000,0.01,False,0.2819203596442518,0.16863000472616818,0.14857632371360807,0.10668965944637951
squared_error,elasticnet,1e-05,0.5,invscaling,0.001,0.25,8000,0.01,False,0.2819203596442518,0.16863000472616818,0.14857632371360807,0.10668965944637951
squared_error,elasticnet,3e-06,0.8,invscaling,0.001,0.25,4000,0.01,False,0.28192229790464507,0.16862003792859437,0.14857721430727452,0.10668998992754435
squared_error,elasticnet,3e-06,0.8,invscaling,0.001,0.25,8000,0.01,False,0.28192229790464507,0.16862003792859437,0.14857721430727452,0.10668998992754435
squared_error,elasticnet,1e-05,0.2,invscaling,0.001,0.25,4000,0.01,False,0.28192225631118084,0.16861889032565236,0.14857731685219813,0.1066900859820389
squared_error,elasticnet,1e-05,0.2,invscaling,0.001,0.25,8000,0.01,False,0.28192225631118084,0.16861889032565236,0.14857731685219813,0.1066900859820389
squared_error,elasticnet,3e-06,0.5,invscaling,0.001,0.25,4000,0.01,False,0.28192286682746126,0.16861670307613097,0.14857751229532745,0.1066901178907351
squared_error,elasticnet,3e-06,0.5,invscaling,0.001,0.25,8000,0.01,False,0.28192286682746126,0.16861670307613097,0.14857751229532745,0.1066901178907351
squared_error,l2,0.0001,0.2,invscaling,0.001,0.25,4000,0.01,False,0.2819197340032683,0.1686157805330526,0.148577594729698,0.10669087403779323
squared_error,l2,0.0001,0.2,invscaling,0.001,0.25,8000,0.01,False,0.2819197340032683,0.1686157805330526,0.148577594729698,0.10669087403779323
squared_error,elasticnet,1e-06,0.8,invscaling,0.001,0.25,4000,0.01,False,0.2819233934225601,0.16861401351763938,0.14857775262225495,0.1066902062230084
squared_error,elasticnet,1e-06,0.8,invscaling,0.001,0.25,8000,0.01,False,0.2819233934225601,0.16861401351763938,0.14857775262225495,0.1066902062230084
squared_error,elasticnet,3e-06,0.2,invscaling,0.001,0.25,4000,0.01,False,0.2819234357143088,0.16861336796553228,0.14857781030584852,0.10669024585371217
squared_error,elasticnet,3e-06,0.2,invscaling,0.001,0.25,8000,0.01,False,0.2819234357143088,0.16861336796553228,0.14857781030584852,0.10669024585371217
squared_error,elasticnet,1e-06,0.5,invscaling,0.001,0.25,4000,0.01,False,0.28192358304549714,0.16861290176959287,0.14857785196297857,0.10669024887740021
squared_error,elasticnet,1e-06,0.5,invscaling,0.001,0.25,8000,0.01,False,0.28192358304549714,0.16861290176959287,0.14857785196297857,0.10669024887740021
squared_error,l2,3e-05,0.2,invscaling,0.001,0.25,4000,0.01,False,0.2819226792164491,0.1686124351927336,0.1485778936541342,0.10669048228069027
squared_error,l2,3e-05,0.2,invscaling,0.001,0.25,8000,0.01,False,0.2819226792164491,0.1686124351927336,0.1485778936541342,0.10669048228069027
squared_error,elasticnet,1e-06,0.2,invscaling,0.001,0.25,4000,0.01,False,0.2819237726645285,0.16861178999283977,0.14857795130620086,0.10669029153175688
squared_error,elasticnet,1e-06,0.2,invscaling,0.001,0.25,8000,0.01,False,0.2819237726645285,0.16861178999283977,0.14857795130620086,0.10669029153175688
squared_error,l2,1e-05,0.2,invscaling,0.001,0.25,4000,0.01,False,0.2819235205171031,0.16861147908428686,0.14857797908753753,0.10669037034172597
squared_error,l2,1e-05,0.2,invscaling,0.001,0.25,8000,0.01,False,0.2819235205171031,0.16861147908428686,0.14857797908753753,0.10669037034172597
squared_error,l2,3e-06,0.2,invscaling,0.001,0.25,4000,0.01,False,0.28192381495250307,0.1686111444151479,0.1485780089920034,0.10669033116221026
squared_error,l2,3e-06,0.2,invscaling,0.001,0.25,8000,0.01,False,0.28192381495250307,0.1686111444151479,0.1485780089920034,0.10669033116221026
squared_error,l2,1e-06,0.2,invscaling,0.001,0.25,4000,0.01,False,0.28192389907501825,0.16861104879241684,0.14857801753640143,0.10669031996797872
squared_error,l2,1e-06,0.2,invscaling,0.001,0.25,8000,0.01,False,0.28192389907501825,0.16861104879241684,0.14857801753640143,0.10669031996797872
huber,elasticnet,0.0001,0.8,optimal,0.001,0.25,4000,0.01,False,0.2575065815443982,0.1505156732915418,0.1501862315502541,0.09954224287161811
huber,elasticnet,0.0001,0.8,optimal,0.001,0.25,8000,0.01,False,0.2575065815443982,0.1505156732915418,0.1501862315502541,0.09954224287161811
huber,l2,3e-05,0.2,optimal,0.001,0.25,4000,0.01,True,0.2434303709031872,0.14573278159771952,0.15060843840519977,0.10374536788190994
huber,l2,3e-05,0.2,optimal,0.001,0.25,8000,0.01,True,0.2434303709031872,0.14573278159771952,0.15060843840519977,0.10374536788190994
huber,elasticnet,0.0001,0.5,optimal,0.001,0.25,4000,0.01,False,0.21063983903406336,0.1390209615880128,0.151198932188601,0.10015991505459917
huber,elasticnet,0.0001,0.5,optimal,0.001,0.25,8000,0.01,False,0.21063983903406336,0.1390209615880128,0.151198932188601,0.10015991505459917
huber,elasticnet,0.0001,0.2,optimal,0.001,0.25,4000,0.01,False,0.2172156027926322,0.13739752133808203,0.15134141349235028,0.09902125631006799
huber,elasticnet,0.0001,0.2,optimal,0.001,0.25,8000,0.01,False,0.2172156027926322,0.13739752133808203,0.15134141349235028,0.09902125631006799
squared_error,l2,1e-06,0.2,invscaling,0.001,0.5,4000,0.01,False,0.1778279113601755,0.12892034319795231,0.15208324505560467,0.11603404024369107
squared_error,l2,1e-06,0.2,invscaling,0.001,0.5,8000,0.01,False,0.1778279113601755,0.12892034319795231,0.15208324505560467,0.11603404024369107
squared_error,l2,3e-06,0.2,invscaling,0.001,0.5,4000,0.01,False,0.17782785592855854,0.12892030812967792,0.1520832481169188,0.11603404365311203
squared_error,l2,3e-06,0.2,invscaling,0.001,0.5,8000,0.01,False,0.17782785592855854,0.12892030812967792,0.1520832481169188,0.11603404365311203
squared_error,elasticnet,1e-06,0.2,invscaling,0.001,0.5,4000,0.01,False,0.177827778561376,0.12892029766972224,0.15208324903002932,0.11603404130832153
squared_error,elasticnet,1e-06,0.2,invscaling,0.001,0.5,8000,0.01,False,0.177827778561376,0.12892029766972224,0.15208324903002932,0.11603404130832153
squared_error,elasticnet,1e-06,0.5,invscaling,0.001,0.5,4000,0.01,False,0.1778275793620595,0.12892022937519387,0.15208325499185663,0.11603404290532417
squared_error,elasticnet,1e-06,0.5,invscaling,0.001,0.5,8000,0.01,False,0.1778275793620595,0.12892022937519387,0.15208325499185663,0.11603404290532417
squared_error,l2,1e-05,0.2,invscaling,0.001,0.5,4000,0.01,False,0.1778276619184601,0.12892018539101424,0.15208325883149185,0.1160340555860419
squared_error,l2,1e-05,0.2,invscaling,0.001,0.5,8000,0.01,False,0.1778276619184601,0.12892018539101424,0.15208325883149185,0.1160340555860419
squared_error,elasticnet,3e-06,0.2,invscaling,0.001,0.5,4000,0.01,False,0.1778274575306107,0.12892017154148816,0.15208326004049763,0.1160340468470673
squared_error,elasticnet,3e-06,0.2,invscaling,0.001,0.5,8000,0.01,False,0.1778274575306107,0.12892017154148816,0.15208326004049763,0.1160340468470673
squared_error,elasticnet,1e-06,0.8,invscaling,0.001,0.5,4000,0.01,False,0.17782738016223631,0.1289201610789179,0.15208326095383629,0.11603404450230184
squared_error,elasticnet,1e-06,0.8,invscaling,0.001,0.5,8000,0.01,False,0.17782738016223631,0.1289201610789179,0.15208326095383629,0.11603404450230184
squared_error,elasticnet,3e-06,0.5,invscaling,0.001,0.5,4000,0.01,False,0.17782685992960734,0.1289199666448605,0.1520832779271162,0.11603405163813123
squared_error,elasticnet,3e-06,0.5,invscaling,0.001,0.5,8000,0.01,False,0.17782685992960734,0.1289199666448605,0.1520832779271162,0.11603405163813123
squared_error,l2,3e-05,0.2,invscaling,0.001,0.5,4000,0.01,False,0.17782710760423992,0.12891983470882973,0.15208328944457872,0.11603408968002754
squared_error,l2,3e-05,0.2,invscaling,0.001,0.5,8000,0.01,False,0.17782710760423992,0.12891983470882973,0.15208328944457872,0.11603408968002754
squared_error,elasticnet,3e-06,0.8,invscaling,0.001,0.5,4000,0.01,False,0.17782626232328202,0.12891976173282071,0.1520832958150781,0.11603405642891818
squared_error,elasticnet,3e-06,0.8,invscaling,0.001,0.5,8000,0.01,False,0.17782626232328202,0.12891976173282071,0.1520832958150781,0.11603405642891818
squared_error,elasticnet,1e-05,0.2,invscaling,0.001,0.5,4000,0.01,False,0.17782633391656266,0.12891973006526303,0.1520832985795229,0.11603406623260855
squared_error,elasticnet,1e-05,0.2,invscaling,0.001,0.5,8000,0.01,False,0.17782633391656266,0.12891973006526303,0.1520832985795229,0.11603406623260855
